"Activity_Id","fk_User_id","fk_Pet_id","VR_loading_time","duration_activity","log_id_act",
"88","46","17","128.4","1.7","2132",
"89","98","156","129.5","6.3","564",
"90","185","253","90.5","1.6","257",
"91","254","12","44.1","6.7","488",
"92","21","9","159","3","1445",
"93","9","104","172.8","5.3","351",
"94","243","196","39.1","8.5","164",
"95","242","242","176.2","2.2","2893",
"96","138","35","76.7","7.3","961",
"97","219","35","154.7","10","702",
"98","78","224","56.7","2.7","2930",
"99","235","273","118","6.9","1208",
"100","171","125","89.9","1.5","615",
"2001","165","8","133.1","4.2","588",
"2002","54","23","66.5","7.8","1022",
"2003","292","270","152.2","5.8","741",
"2004","203","117","12.5","5.6","459",
"2005","123","11","158.7","5.2","2702",
"2006","30","286","41.2","9.2","1533",
"2007","66","80","143.5","6.9","666",
"2008","64","97","91","9","1868",
"2009","79","301","166.5","2.9","2783",
"2010","265","38","147.3","1.3","2324",
"2011","74","161","106.3","8","1585",
"2012","238","169","138.6","3.2","939",
"2013","173","204","155.9","0.1","1768",
"2014","232","35","138.5","3.8","156",
"2015","233","241","135.7","0","1830",
"2016","78","56","49.5","2","2307",
"2017","65","102","83.4","8.4","306",
"2018","244","75","129.1","4.8","2718",
"2019","69","10","53.3","8.2","1983",
"2020","277","306","88.4","1.2","1415",
"2021","234","324","46.5","0.2","2185",
"2022","152","48","89.4","1.8","1718",
"2023","280","322","49.6","7.7","793",
"2024","111","242","72.7","3.3","771",
"2025","278","276","151","0.1","2212",
"2026","169","265","145.8","6.7","1731",
"2027","137","265","62.4","6.1","2058",
"2028","44","254","148.9","6","865",
"2029","254","73","167.9","9.8","2325",
"2030","269","227","164.7","1","1962",
"2031","82","111","86.7","8","333",
"2032","99","346","143","0","2421",
"2033","22","206","54.5","2.9","434",
"2035","221","344","72.6","8.1","1902",
"2036","24","213","98.2","3.9","912",
"2037","61","15","91.3","4.4","534",
"2038","281","181","59.3","5.1","2235",
"2039","272","248","44.4","5.6","2148",
"2040","55","321","77.8","1.8","1961",
"2041","112","49","65.3","4.1","2175",
"2042","299","1","173.4","0.2","2753",
"2043","262","48","165.6","3.3","2890",
"2044","47","111","64.8","9.7","2096",
"2046","80","167","76.5","4.5","1903",
"2047","15","89","58.6","1.9","2248",
"2048","225","110","54.5","2.2","2495",
"2049","9","121","62.9","0.9","2974",
"2050","179","342","70.5","7.8","1482",
"2051","1","298","29","5.2","846",
"2052","11","143","85.8","4.3","121",
"2053","253","228","95.4","7.9","775",
"2054","153","44","6.6","0.6","1302",
"2055","130","311","90.4","8.1","296",
"2056","242","100","164.4","7.7","96",
"2058","115","316","62.7","9.2","275",
"2059","4","321","83.4","4.4","2671",
"2060","287","26","80.5","6.3","2283",
"2061","136","154","148.8","1.8","627",
"2062","151","94","73.2","7.6","871",
"2063","154","73","130.7","4.9","785",
"2064","230","238","2.1","7","65",
"2065","141","321","143.9","7.2","589",
"2066","2","151","35.3","6","542",
"2067","27","278","109.3","2.3","81",
"2068","48","47","112.7","4.7","632",
"2069","14","304","174.2","4.6","2607",
"2070","13","225","156.1","2.5","232",
"2071","220","329","0.7","1.3","2208",
"2072","116","136","61","8.1","1045",
"2074","96","315","114.3","9.3","1007",
"2075","159","314","145","7.2","522",
"2076","246","228","0.2","3.6","2923",
"2077","233","238","94.4","9.4","2318",
"2078","215","42","14.1","0.7","1160",
"2079","63","167","169.9","3.7","2199",
"2080","59","282","1.8","7.1","2835",
"2081","223","248","36.3","10","1666",
"2083","128","98","37.5","5.9","902",
"2084","137","173","128.7","3.2","153",
"2085","189","173","96.6","4.4","1879",
"2087","35","57","79.3","4.8","1166",
"2088","226","200","13","0.8","2003",
"2089","134","289","26.5","4.5","1846",
"2090","132","40","167.5","9","2234",
"2091","167","236","13.7","0.5","492",
"2092","66","67","64","0.8","760",
"2093","186","210","88.7","4.9","1086",
"2094","234","277","141.4","5.6","1656",
"2095","232","179","100.8","5.3","817",
"2096","280","103","29.2","2.8","1980",
"2097","292","308","172.3","3.4","1376",
"2098","166","276","136.4","3.3","2299",
"2099","269","2","11.4","9.7","2527",
"2100","31","270","1.7","3.8","2139",
"2101","26","263","78.1","7.4","1256",
"2102","24","160","177.2","3.6","2833",
"2103","41","44","135","6.4","915",
"2107","292","307","112.9","3.1","1233",
"2108","48","327","119.8","1.1","1697",
"2110","141","150","57.2","0.3","2260",
"2111","51","174","106.6","8.9","2024",
"2112","83","147","131","3.3","1079",
"2113","257","285","170.1","4.5","1932",
"2114","62","246","98.5","9.3","2359",
"2115","250","145","176.1","8","1076",
"2116","127","217","153.1","6.1","2494",
"2117","133","336","15.1","6.5","1056",
"2118","274","252","17.6","6.4","2762",
"2119","99","114","85","1.7","1904",
"2120","38","184","43","4.7","2013",
"2121","44","228","46.2","0.9","1817",
"2122","19","260","33.9","2.5","2565",
"2123","81","169","154.9","3.8","2969",
"2124","59","190","104","6.7","519",
"2125","67","179","23.3","4.3","1724",
"2126","61","86","83.5","6.8","1871",
"2127","26","75","66.5","9.8","651",
"2128","96","197","170.9","1.6","1835",
"2129","93","6","100.2","0.9","1193",
"2130","13","260","50.5","8.2","1253",
"2131","37","125","43.8","4.8","1988",
"2132","129","104","104.5","3.9","1396",
"2133","153","68","59.7","1.7","2538",
"2134","149","276","37.6","1.4","922",
"2135","178","277","73.3","0.6","856",
"2136","121","328","100.8","6.6","668",
"2138","290","158","3.9","6.6","1914",
"2139","34","248","65.7","5.8","2563",
"2140","206","334","22.4","3.5","227",
"2141","286","225","78.5","5.5","279",
"2142","23","224","179.1","8.7","1570",
"2143","164","211","161.1","4.8","2865",
"2144","286","311","153.9","6.9","396",
"2145","34","195","64","9.3","1124",
"2146","83","231","16.2","5.3","2854",
"2147","34","47","56.7","5.8","1184",
"2148","298","315","138.4","4.9","2505",
"2149","209","313","179.4","2.2","582",
"2150","281","121","75.2","3.2","594",
"2152","19","10","130.6","8.3","804",
"2153","186","147","29.5","6.5","924",
"2155","284","7","89.1","8.8","596",
"2156","25","146","1.6","5","406",
"2157","7","300","101.8","9.9","2636",
"2158","55","21","27.6","3.8","2868",
"2159","89","171","111.7","2","2629",
"2160","180","327","153.5","2.7","1793",
"2161","203","260","171.3","2.3","976",
"2162","2","120","144.2","0.6","1752",
"2163","12","168","60.5","9.7","2246",
"2164","162","146","11","2","1844",
"2165","136","56","126.7","1.1","2871",
"2166","9","18","48.2","0.2","1105",
"2167","155","14","99.9","2.1","1448",
"2168","279","231","129","0.9","1634",
"2169","202","250","44.1","4.2","208",
"2170","47","174","142.4","7.9","203",
"2171","187","211","118.4","5.7","2785",
"2172","77","177","35.3","4.9","1612",
"2173","193","51","2.3","2.8","331",
"2175","3","125","48.3","0.7","1147",
"2176","34","171","147.1","3","73",
"2177","269","253","78.7","3.4","1171",
"2178","184","53","93.7","7.8","1981",
"2179","217","104","173.6","7","223",
"2181","251","28","113","5.1","135",
"2182","111","31","116.2","9.6","2862",
"2183","86","135","98.5","0.4","1312",
"2184","57","86","15.3","6.6","989",
"2185","1","21","50.4","8.3","981",
"2186","189","325","155.4","6.8","1252",
"2187","241","315","137.7","6.1","2222",
"2188","133","225","118.9","0.3","1968",
"2189","193","202","58.4","7.8","2016",
"2190","14","335","67.4","7.2","540",
"2191","135","197","121","3.8","862",
"2192","237","86","35.1","9.6","2410",
"2193","269","141","164.9","2.5","2354",
"2194","157","57","157.2","8.9","2778",
"2195","100","292","38.5","2.2","646",
"2196","157","172","137.8","2.1","2935",
"2197","280","188","84.7","8.9","926",
"2199","34","232","31.3","9.8","844",
"2200","127","192","162.6","4.1","2034",
"2201","55","54","59.4","2.9","761",
"2202","280","84","57.9","0.4","2790",
"2203","117","64","137.2","8.9","660",
"2204","124","89","97.6","6.4","2143",
"2206","136","174","36.5","3","85",
"2207","152","7","162.6","4.9","2614",
"2208","242","217","45","8.5","1263",
"2209","260","61","175.2","5.6","743",
"2210","109","263","40.5","3.7","1222",
"2211","114","249","126.8","8.3","548",
"2212","66","154","28.4","4.1","2452",
"2213","132","9","36.4","1","559",
"2214","218","22","98.3","7.1","1326",
"2215","21","46","43.4","1","2405",
"2216","4","198","179.6","0.5","735",
"2217","235","9","141.6","1.7","71",
"2218","216","303","144.7","3.3","2349",
"2219","157","285","12.3","6","2950",
"2220","280","244","0.5","8.6","558",
"2221","117","153","178","0.5","480",
"2222","141","160","150.2","5.5","285",
"2223","19","256","33.3","4.5","445",
"2224","146","286","24.4","2.9","1854",
"2225","13","70","7.6","0.3","2176",
"2226","220","199","29.9","4.7","2250",
"2227","128","216","80.1","5.9","476",
"2230","103","311","30.3","3.1","1453",
"2231","109","153","170.5","7.9","904",
"2232","2","117","8.4","4","1427",
"2233","156","199","165.2","2.7","2978",
"2234","234","211","138.3","9.6","1111",
"2235","140","39","121.3","6","1836",
"2236","220","82","116","6.5","1433",
"2237","221","136","150.7","10","290",
"2241","268","304","156.4","1","2156",
"2242","59","127","180","9.9","402",
"2244","125","56","10.9","3.6","1622",
"2245","215","212","68.2","3.1","2163",
"2246","262","169","168.7","4.8","2715",
"2247","44","22","172","7.9","1314",
"2248","77","270","178.6","2.8","1305",
"2249","78","344","107.9","2.9","745",
"2250","6","305","80.1","0.1","1648",
"2251","221","113","79.3","3.5","45",
"2252","274","225","107.7","7.9","777",
"2254","96","301","155","2.2","2866",
"2255","241","245","12.8","5.5","347",
"2256","188","54","101.8","3.8","2804",
"2257","49","248","24.7","2","254",
"2258","269","331","155.6","9.8","2655",
"2259","7","53","57.5","7.7","1140",
"2260","25","308","104.2","4.7","1852",
"2261","209","157","131.7","5.4","1845",
"2262","274","123","139.5","3.1","469",
"2263","242","17","18.1","7.4","427",
"2264","237","113","124.9","6.6","1764",
"2265","174","221","57.4","6","2730",
"2266","184","67","3","0","2501",
"2267","36","2","73.9","4.8","2395",
"2268","239","157","70.8","7.9","2732",
"2269","256","46","21.4","2.1","2789",
"2270","115","49","25.7","6.2","2513",
"2271","181","20","108.3","8.2","552",
"2272","223","338","15.5","9.7","937",
"2273","185","212","98.2","1.4","2942",
"2274","271","72","92.8","7.4","1081",
"2275","108","224","119.6","7.8","712",
"2276","179","198","24.7","1","2511",
"2277","194","257","29.7","2.8","29",
"2278","70","155","146.7","5.5","336",
"2279","174","204","179.7","2.6","537",
"2280","124","158","172.1","6.2","2491",
"2281","10","327","72.2","9.9","1535",
"2282","230","305","22.1","4.1","1606",
"2283","2","254","128.4","5.9","2193",
"2284","273","107","10.5","3.3","2440",
"2285","134","5","39.2","8.7","461",
"2286","44","217","82.4","8","2326",
"2287","26","314","0.3","5.3","2812",
"2289","235","285","109.6","4.2","316",
"2290","130","117","166.7","4.1","158",
"2291","266","342","104.2","9.7","1223",
"2293","244","204","135.4","7.5","1492",
"2294","236","166","83.5","6.3","669",
"2295","186","103","51.1","8.4","474",
"2296","91","262","149.2","7.8","40",
"2297","192","28","113.9","1.9","455",
"2298","275","5","29.9","6","1268",
"2301","40","34","152.7","1.1","483",
"2302","237","232","174.1","3.8","345",
"2303","290","191","154.1","5.9","1239",
"2304","258","340","127.4","5.7","1426",
"2307","208","338","2.5","7.3","554",
"2308","239","60","176.5","5.6","990",
"2309","45","118","139.9","1","958",
"2311","41","317","167.6","4.5","2781",
"2312","39","248","134.2","5.5","346",
"2313","236","246","76.9","6","273",
"2314","133","142","50.1","0.5","357",
"2315","228","180","129.6","0.4","2273",
"2316","154","86","148.3","8.8","2099",
"2317","77","81","168","3.8","689",
"2318","160","295","0.6","2.1","428",
"2319","67","123","3.1","4.1","1422",
"2320","38","218","44","5.4","1304",
"2321","97","296","46.1","6","1206",
"2322","291","139","66.7","6.2","1358",
"2323","179","328","11.1","4","2512",
"2324","205","235","104.3","9.6","2445",
"2325","7","69","61.1","2.1","2093",
"2326","141","66","22.6","7.8","1318",
"2327","118","90","96","5.9","48",
"2328","155","43","9.5","4.5","90",
"2329","185","88","95.7","4.2","92",
"2331","167","139","93.6","9.3","2570",
"2332","172","266","22.6","5.2","1330",
"2333","199","11","8.9","1.5","2870",
"2334","12","161","14","1.7","1923",
"2335","274","97","106.4","0.9","968",
"2336","278","74","144.5","9.4","1523",
"2337","151","148","129.1","7.7","2048",
"2338","37","330","79.9","3.9","1826",
"2339","274","83","20.6","0.2","539",
"2340","277","186","73.6","7.3","411",
"2341","274","25","54.2","7.4","1276",
"2342","61","278","146.8","3.6","2319",
"2343","97","126","124.3","2.3","2496",
"2344","78","349","3.9","5.4","1742",
"2345","224","189","32.5","2.7","684",
"2346","40","148","96.1","3.3","1126",
"2347","58","87","70.1","2.5","2906",
"2348","15","69","27.4","2.1","882",
"2349","190","200","77.8","2.1","1487",
"2350","93","181","179.2","4.6","653",
"2351","108","249","136.8","4.9","2956",
"2352","203","114","111","0.6","264",
"2353","147","123","11","4.9","1698",
"2355","252","29","0.7","7.9","55",
"2356","35","276","145.4","8.3","359",
"2357","87","49","146.9","4.7","1332",
"2358","13","160","10.7","1.4","561",
"2359","227","340","25.2","7.5","475",
"2360","82","257","79.9","8.6","2633",
"2361","162","1","167.9","6.6","652",
"2362","27","167","72","4.5","2137",
"2363","198","9","92.8","7.6","1483",
"2364","90","217","11.1","6.8","435",
"2365","185","207","60.8","6.6","2270",
"2366","48","4","134.9","5.9","1939",
"2367","237","344","64.4","4","977",
"2368","40","198","22.6","1.8","1469",
"2369","222","9","178.8","9","2921",
"2372","175","176","61.1","4.4","2675",
"2375","70","338","123.1","0.3","477",
"2376","173","158","159.7","6.7","894",
"2378","119","116","66.2","1.6","2627",
"2381","84","26","38.3","4.3","1098",
"2382","118","185","25.9","6.1","827",
"2383","131","71","159.5","8.9","2131",
"2384","14","350","24.3","3.1","2146",
"2385","277","1","138.3","1.6","1948",
"2386","123","19","178.7","8.3","2813",
"2387","169","290","121.8","2.1","2079",
"2388","91","32","161.8","6.3","2554",
"2389","90","198","119.7","4.9","769",
"2390","227","228","50.9","8.2","101",
"2391","98","219","97.7","1.2","211",
"2392","74","43","72.9","7.7","2630",
"2393","172","128","78.2","2","2603",
"2395","274","223","103.6","2.2","935",
"2396","44","196","114.4","2.9","2043",
"2397","19","115","130.6","4.5","1762",
"2398","161","49","147.6","5.2","637",
"2399","284","91","24.8","8.4","2985",
"2400","235","69","42.8","6.5","2338",
"2401","207","221","127","1.2","495",
"2402","54","223","157.3","5.2","2277",
"2403","250","130","146.5","8.7","1107",
"2404","237","182","170.4","6.2","593",
"2405","214","139","58","7.5","2300",
"2407","23","234","93.5","5","2903",
"2408","145","90","75.9","2.7","485",
"2409","92","65","101.7","7.7","438",
"2410","137","45","76.2","2.9","1149",
"2411","275","239","53.9","8.5","409",
"2412","32","155","31.7","0.2","2144",
"2413","136","161","106.2","3.9","2320",
"2414","179","17","127.9","1.7","2040",
"2416","36","258","100.8","5","424",
"2418","228","159","3.3","4.1","1357",
"2419","245","258","62.2","7.8","947",
"2420","275","71","140.8","7.9","2391",
"2421","62","27","125.9","4.7","2309",
"2423","294","197","138.4","6.3","98",
"2424","249","13","133.2","5.1","2610",
"2425","33","22","43.7","1.4","2895",
"2426","126","242","98.9","5.8","751",
"2427","267","260","63.8","1.5","2810",
"2428","85","292","75.4","5.5","172",
"2429","133","272","23.8","3.1","2401",
"2430","195","115","69","3.3","2645",
"2431","123","6","33.1","0.3","1488",
"2432","235","29","59.3","8.4","2121",
"2434","205","331","114.5","5.9","1873",
"2435","16","266","2.9","6.4","6",
"2436","35","298","173.7","4.1","2925",
"2437","193","234","129.1","9.8","1796",
"2438","8","197","86.4","7.4","1970",
"2439","167","180","110.6","9.3","642",
"2441","237","112","84.2","6.5","1578",
"2442","265","83","71.2","0.2","1419",
"2443","193","316","86.7","1.8","1322",
"2445","35","76","123.4","4.3","2217",
"2446","169","255","162.1","4","1309",
"2447","34","328","109.2","5.2","1694",
"2448","103","342","117.4","3","1150",
"2449","91","49","135.6","7.5","1599",
"2450","160","132","125.1","4.5","798",
"2451","74","342","80.4","4.1","580",
"2452","56","86","79.5","4.5","1699",
"2453","115","196","28.3","8","887",
"2454","45","189","74.6","9.7","772",
"2455","56","206","45.7","3","2502",
"2456","195","123","74.5","0.9","224",
"2457","63","302","126.2","0.1","2070",
"2458","228","270","67.2","1.2","2760",
"2459","101","197","172.2","8.7","2308",
"2460","15","220","149.6","4.8","1301",
"2461","36","271","13.1","6.5","787",
"2462","112","178","120.9","6.5","1925",
"2463","248","196","89.5","5.4","1620",
"2464","151","46","80.1","5.4","1851",
"2465","233","163","159.3","2.2","2540",
"2466","197","229","152.3","5.7","1863",
"2468","183","212","31.2","1.7","2010",
"2469","199","331","168","8.1","737",
"2470","203","239","41.8","3.3","419",
"2471","140","317","14.7","8.1","2773",
"2472","221","243","138.1","9","1241",
"2473","107","271","16.6","8.1","879",
"2474","33","191","74.7","9.6","2117",
"2475","178","291","57.6","7.9","1169",
"2476","79","37","171.5","9.1","1257",
"2480","127","212","107.8","6.7","1119",
"2482","61","220","109.8","5.4","2375",
"2483","138","181","102.5","0.7","436",
"2484","282","210","3.4","5","1777",
"2485","281","65","22.6","2.1","2549",
"2486","31","236","173.6","5.3","1771",
"2487","81","110","122","8.4","1163",
"2488","24","187","22.4","5.8","2443",
"2489","1","334","30.2","1.1","2266",
"2490","299","341","35.1","3.8","2552",
"2492","121","30","108","8.8","840",
"2493","210","286","71","1.2","197",
"2494","164","2","131","1.2","1413",
"2495","20","8","46.4","0.5","1732",
"2496","187","162","50.5","9.2","268",
"2501","46","177","79.8","5.2","2994",
"2502","18","95","149.5","0.4","1957",
"2503","199","337","132.9","0.9","776",
"2504","297","80","99.8","0.2","1091",
"2505","133","263","77.5","2.1","2448",
"2506","214","233","62.7","7.4","132",
"2507","270","121","57.2","9.6","1532",
"2508","117","186","81.5","5.8","1158",
"2509","235","331","85.6","1.2","1602",
"2510","2","95","144.4","0.6","895",
"2511","201","229","117.7","3.8","825",
"2514","300","119","4.4","9.9","269",
"2515","276","253","44.9","6.4","2286",
"2516","138","206","117.6","1.7","1198",
"2517","212","221","106","3.9","1324",
"2518","224","56","23","1.3","147",
"2519","34","41","84.5","1.2","736",
"2520","266","178","81.8","0.6","2509",
"2521","253","219","100.7","2.2","801",
"2522","176","99","152.1","4.1","2259",
"2523","74","190","108.4","4.8","2342",
"2524","90","318","85.6","4.6","2601",
"2525","197","34","85.4","5.9","318",
"2527","158","241","67.1","1.9","1977",
"2528","87","105","153.3","9.9","287",
"2529","110","137","27.7","8","2834",
"2530","22","14","117.8","1.2","317",
"2531","265","14","157.7","2.6","1143",
"2533","72","50","3.1","3.3","462",
"2535","45","130","146.4","6.1","1663",
"2536","211","147","137.3","3.2","322",
"2537","5","211","120.5","4.1","1542",
"2538","104","168","173.4","9.2","2239",
"2539","254","24","7","1","1402",
"2540","25","296","42.7","2","1677",
"2541","248","107","132.7","8.1","641",
"2542","294","69","79.8","9.3","1912",
"2543","272","253","38.9","5.9","2298",
"2544","163","234","14.8","8.9","284",
"2545","138","211","144.1","0.3","2749",
"2546","69","211","116","9.5","304",
"2548","54","111","57.6","2","1607",
"2549","88","274","127.9","3.4","1569",
"2550","232","188","55.4","4.7","2081",
"2551","277","345","121.7","3.8","350",
"2552","105","112","27.3","5.6","2976",
"2553","82","202","22.9","7.2","517",
"2554","218","49","132","7.9","1380",
"2556","215","333","14.4","6.5","1513",
"2557","39","268","78.3","7","354",
"2558","66","162","141.2","2","1580",
"2560","143","341","30.2","3","1474",
"2561","128","172","22.8","7.7","606",
"2564","184","155","163.1","0","2536",
"2565","252","306","77.7","0.7","2337",
"2566","92","349","99.1","6.1","1059",
"2567","221","85","92.2","7","1502",
"2568","76","293","119.9","6.6","2135",
"2569","45","104","163.2","9.9","2752",
"2570","65","338","25.8","0.1","2022",
"2572","177","118","116.4","0","1686",
"2573","183","157","101.7","6.6","903",
"2574","239","90","42.9","8.6","657",
"2575","218","339","102.5","9.6","2941",
"2576","65","8","1.5","7.8","1188",
"2577","248","149","6.1","7.9","1987",
"2578","64","189","118.8","9.6","1610",
"2579","118","158","114.2","6.7","163",
"2580","284","135","21.1","8.9","93",
"2581","290","62","6.2","1","1201",
"2582","48","5","44","7.1","1375",
"2583","186","134","101","3.3","717",
"2584","225","188","171.1","4.7","2571",
"2585","269","264","110.3","3.9","2608",
"2586","11","256","32.8","9.8","2621",
"2587","138","143","148.8","2.7","599",
"2588","210","129","37.1","3.3","2896",
"2589","292","235","154.6","7.9","2290",
"2590","138","260","120.3","0.5","2637",
"2591","132","115","160.4","0.2","2731",
"2593","263","183","79.9","4.4","852",
"2594","181","334","144","8.8","2268",
"2595","200","91","73.6","4.9","2332",
"2596","268","115","66.4","9.5","324",
"2598","61","132","135.7","2.7","2931",
"2599","249","342","163.8","1.2","2128",
"2600","251","183","154.9","7.1","1050",
"2601","188","100","151.7","3.2","2821",
"2602","29","221","144.9","6.6","1232",
"2603","150","166","155.9","9","1274",
"2604","229","256","58.7","6.5","2965",
"2606","101","103","54.7","3.3","970",
"2607","258","336","76.3","4.8","1436",
"2608","78","17","105.1","4.9","1668",
"2610","99","270","165.9","5.9","1240",
"2611","193","110","140.5","2.8","2224",
"2612","171","61","119.3","8.7","2177",
"2613","103","117","70.5","6.2","872",
"2614","188","49","105.8","2.3","1841",
"2615","250","6","4.2","3.8","2006",
"2616","225","249","70.8","1.1","899",
"2618","255","159","6.1","7.8","818",
"2620","219","230","125.3","6","1714",
"2621","252","152","127.7","5.9","2618",
"2622","75","162","116.5","8.8","2393",
"2624","287","231","7.8","9.6","779",
"2625","56","106","75.9","2.1","1739",
"2626","84","322","128.3","8.8","2347",
"2627","102","66","44.7","7.7","2641",
"2628","210","266","112","1.9","624",
"2629","246","348","150.3","5.9","1967",
"2630","154","250","126.2","7.5","2207",
"2632","5","240","20.3","4.5","581",
"2633","140","45","92","0.9","2544",
"2634","156","151","144","9.8","565",
"2636","168","190","133.9","5.7","1294",
"2637","107","90","48.7","8.3","2661",
"2638","45","99","56.2","5.3","1996",
"2640","35","338","112.6","3.4","288",
"2641","262","43","102.6","8.5","1869",
"2642","162","346","82.7","5.7","2288",
"2644","280","325","20.1","3.7","1857",
"2645","138","243","25.6","3.2","1226",
"2646","271","141","16.7","7.2","755",
"2648","198","116","123.2","6.9","188",
"2649","239","155","16.5","6.3","1639",
"2652","75","182","150.4","1.2","1368",
"2653","198","116","31.9","1.6","2548",
"2654","181","336","124.8","7.4","949",
"2655","24","148","83.5","8.9","1476",
"2656","241","323","82.9","9.6","1783",
"2657","296","198","154.3","7.7","1467",
"2658","79","132","26.2","6.6","2229",
"2659","179","179","57.2","0.7","1640",
"2660","211","290","171.5","6.3","1837",
"2661","142","37","10.6","6.9","579",
"2663","110","349","167.5","8.3","2642",
"2664","67","180","163.5","0.3","2580",
"2666","27","43","146.3","3.9","2167",
"2667","16","185","122.5","7.2","1401",
"2668","76","175","61.7","9.1","25",
"2669","8","180","138.7","7.7","2765",
"2670","252","187","118.4","2.6","1439",
"2675","177","124","131","5.3","76",
"2676","115","155","59.9","4.5","1242",
"2677","144","301","79.8","6.6","750",
"2678","108","292","49.2","3.4","1458",
"2679","25","170","71.6","1.3","138",
"2680","235","166","59.1","2.7","630",
"2682","222","282","0.5","4.9","2885",
"2683","2","178","4.9","3.7","1165",
"2684","29","146","179","4.6","1238",
"2685","155","271","151.5","9.5","1277",
"2686","165","164","36.4","1.7","1077",
"2689","17","64","64.5","8.1","1530",
"2690","121","311","123.1","4.7","670",
"2691","97","230","31.6","0.7","2339",
"2692","134","14","103.3","1.3","2977",
"2693","24","75","49.1","5.1","1182",
"2694","220","109","42.6","4.9","1997",
"2695","166","134","12","6.7","1315",
"2696","140","287","120.8","6.2","453",
"2697","151","225","18.9","2.1","1061",
"2698","186","31","28.5","5","2697",
"2701","134","177","111.7","8.6","663",
"2702","273","118","152.1","5.1","1847",
"2703","75","181","2","1.2","486",
"2704","121","157","122.9","1.8","2083",
"2706","111","88","34.5","7.6","1489",
"2707","41","93","126.8","4.5","2838",
"2708","18","58","67.1","4.7","994",
"2709","221","166","95.9","5.9","1392",
"2710","172","167","39","3","1644",
"2711","276","104","86.8","4.8","933",
"2712","207","123","93.3","5.5","2382",
"2713","85","264","82.3","0.9","420",
"2716","217","17","164.3","0.5","1820",
"2717","44","281","67.6","7.9","2315",
"2718","275","301","81","3.6","765",
"2719","143","49","68.7","1.5","2",
"2721","75","64","140.4","2.8","2196",
"2722","117","39","2.5","1.1","1901",
"2723","148","105","99.4","4.1","250",
"2724","26","26","25","8","122",
"2726","200","107","20.9","5.6","2031",
